dateTime,pointDisplayName,point_id,unit,dateTimeUtc,pointName,pointKind,deviceName,value,pointField
03/31/2026 08:15:14,Noise Level,679cf5ad47ab52551ce70601,dB,03/31/2026 13:15:14,Noise,Number,10B342_Rm_354,55.400001525878906,noise_sensor
03/31/2026 08:15:44,CO2,679cf5ad47ab52551ce705fd,ppm,03/31/2026 13:15:44,Carbon Dioxide,Number,10B342_Rm_354,534,co2_concentration_detection_sensor
03/31/2026 08:15:44,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 13:15:44,TVOC,Number,10B342_Rm_354,179,voc_concentration_detection_sensor
03/31/2026 08:15:44,Illuminance,679cf5ad47ab52551ce70600,lx,03/31/2026 13:15:44,Light,Number,10B342_Rm_354,389.29998779296875,illuminance_sensor
03/31/2026 08:15:44,Noise Level,679cf5ad47ab52551ce70601,dB,03/31/2026 13:15:44,Noise,Number,10B342_Rm_354,54.599998474121094,noise_sensor
03/31/2026 08:16:14,CO2,679cf5ad47ab52551ce705fd,ppm,03/31/2026 13:16:14,Carbon Dioxide,Number,10B342_Rm_354,536,co2_concentration_detection_sensor
03/31/2026 08:16:14,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 13:16:14,TVOC,Number,10B342_Rm_354,186,voc_concentration_detection_sensor
03/31/2026 08:16:14,Illuminance,679cf5ad47ab52551ce70600,lx,03/31/2026 13:16:14,Light,Number,10B342_Rm_354,390.79998779296875,illuminance_sensor
03/31/2026 08:16:14,Noise Level,679cf5ad47ab52551ce70601,dB,03/31/2026 13:16:14,Noise,Number,10B342_Rm_354,56.099998474121094,noise_sensor
03/31/2026 08:16:44,CO2,679cf5ad47ab52551ce705fd,ppm,03/31/2026 13:16:44,Carbon Dioxide,Number,10B342_Rm_354,537,co2_concentration_detection_sensor
03/31/2026 08:16:44,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 13:16:44,TVOC,Number,10B342_Rm_354,193,voc_concentration_detection_sensor
03/31/2026 08:18:14,CO2,679cf5ad47ab52551ce705fd,ppm,03/31/2026 13:18:14,Carbon Dioxide,Number,10B342_Rm_354,541,co2_concentration_detection_sensor
03/31/2026 08:18:14,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 13:18:14,TVOC,Number,10B342_Rm_354,202,voc_concentration_detection_sensor
03/31/2026 08:18:14,Illuminance,679cf5ad47ab52551ce70600,lx,03/31/2026 13:18:14,Light,Number,10B342_Rm_354,393,illuminance_sensor
03/31/2026 08:18:14,Noise Level,679cf5ad47ab52551ce70601,dB,03/31/2026 13:18:14,Noise,Number,10B342_Rm_354,58.20000076293945,noise_sensor
03/31/2026 08:18:14,Zone Temp,679cf5ad47ab52551ce70603,°F,03/31/2026 13:18:14,Temperature Fahrenheit,Number,10B342_Rm_354,71.87000274658203,zone_air_temperature_sensor
03/31/2026 08:18:44,CO2,679cf5ad47ab52551ce705fd,ppm,03/31/2026 13:18:44,Carbon Dioxide,Number,10B342_Rm_354,544,co2_concentration_detection_sensor
03/31/2026 08:18:44,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 13:18:44,TVOC,Number,10B342_Rm_354,191,voc_concentration_detection_sensor
03/31/2026 08:18:44,Noise Level,679cf5ad47ab52551ce70601,dB,03/31/2026 13:18:44,Noise,Number,10B342_Rm_354,56.20000076293945,noise_sensor
03/31/2026 08:19:44,CO2,679cf5ad47ab52551ce705fd,ppm,03/31/2026 13:19:44,Carbon Dioxide,Number,10B342_Rm_354,546,co2_concentration_detection_sensor
03/31/2026 08:19:44,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 13:19:44,TVOC,Number,10B342_Rm_354,199,voc_concentration_detection_sensor
03/31/2026 08:19:44,Noise Level,679cf5ad47ab52551ce70601,dB,03/31/2026 13:19:44,Noise,Number,10B342_Rm_354,60.400001525878906,noise_sensor
03/31/2026 08:20:44,VOC,679cf5ad47ab52551ce705fe,ppb,03/31/2026 13:20:44,TVOC,Number,10B342_Rm_354,193,voc_concentration_detection_sensor
03/31/2026 08:20:44,Illuminance,679cf5ad47ab52551ce70600,lx,03/31/2026 13:20:44,Light,Number,10B342_Rm_354,371.79998779296875,illuminance_sensor
