ts,flow_cfm,Q_Lps,co2_iaq_ppm,co2_fpb_ppm,co2_ppm,people_est,people_est_rounded,people_est_smooth_5min,people_est_smooth_5min_rounded
2026-03-31 22:46:25,2003.6734619140625,945.6285809830139,526.0,505.0,526.0,18.75938793802897,19,18.92558057844595,19
2026-03-31 22:46:55,2013.1033935546875,950.0790131744811,526.0,506.0,526.0,18.847675650192702,19,18.86756911481161,19
2026-03-31 22:47:55,2021.068115234375,953.8379432611695,525.0,505.0,525.0,18.709635839467385,19,18.7945313464574,19
2026-03-31 22:48:25,2027.7540283203125,956.9933428929993,525.0,504.0,525.0,18.771529349215676,19,18.771529349215676,19
2026-03-31 22:49:25,2038.6934814453125,962.1561898997376,519.0,505.0,519.0,17.58601739846372,18,18.765458643622324,19
2026-03-31 22:50:55,2064.761474609375,974.4589128001343,517.0,502.0,517.0,17.376471289032065,17,18.734511888748177,19
2026-03-31 22:51:55,1997.8768310546875,942.8928758303406,517.0,500.0,517.0,16.813588310684626,17,17.58601739846372,18
2026-03-31 22:52:25,2027.5975341796875,956.9194858823913,518.0,500.0,518.0,17.27700603982075,17,17.481244343747893,17
2026-03-31 22:52:55,2018.5394287109373,952.6445361045836,518.0,501.0,518.0,17.199822604619815,17,17.326738664426408,17
2026-03-31 22:53:55,2059.8994140625,972.164275723291,517.0,500.0,517.0,17.335553509163912,17,17.30627977449233,17
2026-03-31 22:54:25,2006.5628662109373,946.9922279729429,517.0,501.0,517.0,16.886687621362466,17,17.238414322220283,17
2026-03-31 22:55:25,1991.5025634765625,939.8845565012268,516.0,503.0,516.0,16.550444904923317,17,17.199822604619815,17
2026-03-31 22:56:55,2014.709228515625,950.8368828894165,514.0,503.0,514.0,16.31942349732436,16,17.04325511299114,17
2026-03-31 22:57:25,2040.40673828125,962.9647570946534,514.0,502.0,514.0,16.527576881820863,17,16.71856626314289,17
2026-03-31 22:58:25,2024.271240234375,955.3496499369506,511.0,502.0,511.0,15.758037747079467,16,16.53901089337209,17
2026-03-31 22:58:55,2039.366943359375,962.4740285327514,510.0,502.0,510.0,15.661016508230269,16,16.423500189572614,16
2026-03-31 22:59:26,2027.0260009765625,956.6497522445861,509.0,501.0,509.0,15.353009820797297,15,16.038730622201914,16
2026-03-31 22:59:55,2012.784912109375,949.9287066684936,509.0,501.0,509.0,15.245145601427918,15,15.758037747079467,16
2026-03-31 23:00:26,1990.770263671875,939.5389494757691,508.0,501.0,508.0,14.86898096714251,15,15.661016508230269,16
2026-03-31 23:00:55,2011.8194580078125,949.4730630671692,508.0,499.0,508.0,15.026196531221442,15,15.507013164513783,16
2026-03-31 23:01:26,2016.8526611328125,951.848470447345,509.0,499.0,509.0,15.275955364438005,15,15.353009820797297,15
2026-03-31 23:01:56,1989.3392333984373,938.8635783873473,508.0,500.0,508.0,14.85829266106951,15,15.275955364438005,15
2026-03-31 23:02:25,2023.633544921875,955.0486912603393,508.0,500.0,508.0,15.114435458974642,15,15.245145601427918,15
2026-03-31 23:03:26,2010.8836669921875,949.031418883612,507.0,501.0,507.0,14.807669017905974,15,15.114435458974642,15
2026-03-31 23:03:55,2045.058349609375,965.1600731993531,507.0,501.0,507.0,15.05932325195932,15,15.05932325195932,15
2026-03-31 23:04:26,2062.842529296875,973.5532714532104,509.0,500.0,509.0,15.624289770232432,16,15.05932325195932,15
2026-03-31 23:04:56,2033.807861328125,959.8504339437621,510.0,500.0,510.0,15.61832636080707,16,15.05932325195932,15
2026-03-31 23:05:26,2007.884765625,947.6160950305664,510.0,501.0,510.0,15.419253785333078,15,15.114435458974642,15
2026-03-31 23:05:56,2016.156005859375,951.5196857675171,509.0,501.0,509.0,15.270678789174715,15,15.270678789174715,15
2026-03-31 23:06:26,2030.8609619140625,958.4596522798889,509.0,501.0,509.0,15.38205641068191,15,15.270678789174715,15
2026-03-31 23:06:56,2006.7076416015625,947.0605543493713,507.0,500.0,507.0,14.776917760232655,15,15.270678789174715,15
2026-03-31 23:08:56,2024.9654541015625,955.6772824013244,511.0,498.0,511.0,15.763441888632364,16,15.419253785333078,15
2026-03-31 23:10:26,2036.08740234375,960.9262575132568,508.0,499.0,508.0,15.207452806256,15,15.270678789174715,15
2026-03-31 23:11:26,2029.3709716796875,957.7564551882507,508.0,501.0,508.0,15.15728806272257,15,15.182370434489286,15
2026-03-31 23:11:56,2048.688232421875,966.8731871365112,508.0,501.0,508.0,15.30156788624331,15,15.254510346249656,15
2026-03-31 23:12:26,2029.4967041015625,957.8157942841369,508.0,500.0,508.0,15.158227152994277,15,15.207452806256,15
2026-03-31 23:12:56,2020.606201171875,953.6199440972534,507.0,497.0,507.0,14.879263447017548,15,15.18283997962514,15
2026-03-31 23:13:26,2030.8953857421875,958.4758985177917,507.0,496.0,507.0,14.955030554823056,15,15.158227152994277,15
2026-03-31 23:14:56,2022.459716796875,954.4947060700073,508.0,497.0,508.0,15.105668185137064,15,15.15728806272257,15
2026-03-31 23:15:56,2029.308349609375,957.726900861853,508.0,498.0,508.0,15.156820341062975,15,15.156820341062975,15
2026-03-31 23:16:56,2040.3116455078125,962.919878302716,509.0,498.0,509.0,15.453637356342295,15,15.131244263100019,15
2026-03-31 23:17:56,2029.0460205078125,957.6030953113097,508.0,497.0,508.0,15.154861015826187,15,15.154861015826187,15
2026-03-31 23:18:56,1814.343505859375,856.2747910143921,509.0,496.0,509.0,13.742119563507694,14,15.154861015826187,15
2026-03-31 23:19:26,1823.4752197265625,860.5844800881408,510.0,496.0,510.0,14.00310797989342,14,15.130264600481626,15
2026-03-31 23:19:56,1800.6004638671875,849.7887973909362,512.0,494.0,512.0,14.206278779728029,14,14.680569897777108,15
2026-03-31 23:20:26,1849.0087890625,872.6349830256347,513.0,494.0,513.0,14.782717570450288,15,14.782717570450288,15
2026-03-31 23:20:56,1986.6300048828125,937.584964897931,513.0,495.0,513.0,15.882991174993386,16,14.782717570450288,15
2026-03-31 23:21:26,2039.796142578125,962.6765880095825,515.0,495.0,515.0,16.737210595161088,17,14.968789293138236,15
2026-03-31 23:21:56,2028.1494140625,957.179944185791,515.0,496.0,515.0,16.641645286529656,17,14.968789293138236,15
