ts,flow_cfm,Q_Lps,co2_ppm,people_est,people_est_rounded,people_est_smooth_5min,people_est_smooth_5min_rounded
2026-03-31 15:02:16,1138.900390625,537.5011351594726,465.0,6.110231007844641,6,6.013356366213299,6
2026-03-31 15:02:46,1124.4532470703125,530.682842599054,465.0,6.032721696890599,6,6.059520306531278,6
2026-03-31 15:03:46,1139.1470947265625,537.6175665311096,465.0,6.111554581937282,6,6.086318916171956,6
2026-03-31 15:04:16,1133.8160400390625,535.1015888655335,465.0,6.082953331183297,6,6.084636123677626,6
2026-03-31 15:05:16,1144.5814208984375,540.1822829103943,467.0,6.381522039392513,6,6.096592169513968,6
2026-03-31 15:06:46,1153.8253173828125,544.544916284259,486.0,8.739252195447149,9,6.110892794890962,6
2026-03-31 15:07:16,1138.687255859375,537.4005467503296,506.0,11.020314767460496,11,6.2465383106648975,6
2026-03-31 15:07:46,1123.1405029296875,530.0632963493836,527.0,13.351013788548395,13,7.560387117419831,8
2026-03-31 15:08:16,1108.5897216796875,523.1960922429382,573.0,18.54255960923206,19,8.739252195447149,9
2026-03-31 15:08:46,1127.5701904296875,532.1538760693054,529.0,13.640903545945994,14,11.020314767460496,11
2026-03-31 15:09:16,1115.940673828125,526.6653553644653,501.0,10.213205524111604,10,11.020314767460496,11
2026-03-31 15:09:46,1111.7882080078125,524.7056097093566,495.0,9.47346367360999,9,10.61676014578605,11
2026-03-31 15:11:16,1141.8065185546875,538.8726748252625,496.0,9.849361605230925,10,10.61676014578605,11
2026-03-31 15:11:46,1125.08349609375,530.9802870185302,510.0,11.362076234787628,11,11.191195501124062,11
2026-03-31 15:14:16,1130.6619873046875,533.6130417203797,495.0,9.634285727005455,10,9.74182366611819,10
2026-03-31 15:15:16,1136.4451904296875,536.3424096880555,501.0,10.40086500022509,10,10.125113302728007,10
2026-03-31 15:16:16,1116.007080078125,526.6966956248169,481.0,7.865810227929523,8,10.017575363615272,10
2026-03-31 15:16:46,1122.2044677734375,529.621536944281,479.0,7.673386290870203,8,8.750047977467489,9
2026-03-31 15:18:16,1128.9984130859375,532.8279221099548,472.0,6.888474211141005,7,7.865810227929523,8
2026-03-31 15:21:16,1112.491455078125,525.0375053709106,477.0,7.372910213656104,7,7.372910213656104,7
2026-03-31 15:21:46,1117.6768798828125,527.4847533846496,488.0,8.700609934166806,9,7.372910213656104,7
2026-03-31 15:22:16,1122.7218017578125,529.8656913990051,485.0,8.385562817751818,8,7.879236515703962,8
2026-03-31 15:23:16,1113.7406005859375,525.6270364080017,481.0,7.84983568987391,8,8.117699253812864,8
2026-03-31 15:24:16,1122.012451171875,529.5309151988159,475.0,7.199945734604753,7,7.84983568987391,8
2026-03-31 15:25:46,1107.39599609375,522.6327164966552,490.0,8.85356648694006,9,8.117699253812864,8
2026-03-31 15:26:16,1120.0228271484375,528.5919172144959,479.0,7.6584687141324315,8,8.117699253812864,8
2026-03-31 15:27:46,1129.587890625,533.1061245313476,477.0,7.486214890006915,7,7.6584687141324315,8
2026-03-31 15:28:46,1117.9166259765625,527.5979009422424,476.0,7.29126388452617,7,7.486214890006915,7
2026-03-31 15:29:46,1128.74560546875,532.7086101996827,476.0,7.361892538974071,7,7.486214890006915,7
2026-03-31 15:31:47,1140.2447509765625,538.1356025992736,483.0,8.276541255980856,8,7.424053714490492,7
2026-03-31 15:32:46,1148.769287109375,542.1587356895874,480.0,7.975877283664126,8,7.668884911319099,8
2026-03-31 15:33:17,1130.6634521484375,533.6137330496521,481.0,7.96911086409299,8,7.96911086409299,8
2026-03-31 15:34:47,1121.7716064453125,529.4172491442688,480.0,7.788433041955727,8,7.972494073878558,8
2026-03-31 15:35:17,1114.403564453125,525.939920514563,480.0,7.737276905201371,8,7.96911086409299,8
2026-03-31 15:36:17,1123.1356201171875,530.0609919184753,481.0,7.916053406624712,8,7.942582135358851,8
2026-03-31 15:36:47,1113.7799072265625,525.6455870768127,491.0,9.021771346246627,9,7.942582135358851,8
2026-03-31 15:37:17,1104.8204345703125,521.4171868033508,510.0,11.157442133781931,11,7.96911086409299,8
2026-03-31 15:38:47,1123.1397705078125,530.0629506847473,504.0,10.63354387069222,11,8.46891237643567,8
2026-03-31 15:39:17,1129.6802978515625,533.1497358862854,490.0,9.031728181513433,9,9.021771346246627,9
2026-03-31 15:40:17,1120.124267578125,528.6397917666137,486.0,8.483995208919461,8,9.02674976388003,9
2026-03-31 15:41:17,1130.551025390625,533.5606735279907,484.0,8.325108839776375,8,9.02674976388003,9
